change_id,timestamp,interval_index,system,component,environment,change_type,object_type,object_name,old_dtype,new_dtype,columns_added,columns_dropped,tables_added,tables_dropped,impacted_rows_estimate,severity,requires_backfill,user_id,ticket_id
100045,2025-10-01T16:00:00,2,Glue,Glue_Job_009,prod,add_table,table,Glue_Job_009_table_8578,,,0,0,1,0,629,high,TRUE,user_043,TKT-51914
100046,2025-10-01T16:00:00,2,Glue,Glue_Job_001,prod,add_column,table,Glue_Job_001_table_5589,,INTEGER,2,0,0,0,184,low,FALSE,user_028,TKT-31566
100047,2025-10-01T16:00:00,2,Glue,Glue_Job_019,prod,add_column,table,Glue_Job_019_table_8478,,DECIMAL,1,0,0,0,2310,low,FALSE,user_028,TKT-48000
100048,2025-10-01T16:00:00,2,Glue,Glue_Job_010,prod,add_index,table,Glue_Job_010_table_7644,,,0,0,0,0,13413,low,TRUE,user_007,TKT-91244
100049,2025-10-01T16:00:00,2,Glue,Glue_Job_001,prod,drop_column,column,Glue_Job_001_column_9504,DECIMAL,,0,3,0,0,548,low,FALSE,user_010,TKT-26032
100050,2025-10-01T16:00:00,2,OnPrem,OnPrem_Srv_02,dev,add_column,table,OnPrem_Srv_02_table_1280,,TIMESTAMP,2,0,0,0,1211,medium,TRUE,user_044,TKT-39975
100051,2025-10-01T16:00:00,2,OnPrem,OnPrem_Srv_09,prod,add_column,column,OnPrem_Srv_09_column_1302,,VARCHAR,1,0,0,0,4013,low,FALSE,user_006,TKT-71268
100052,2025-10-02T00:00:00,3,PostgreSQL,Suppliers,prod,modify_type,table,Suppliers_table_8647,BIGINT,DATE,0,0,0,0,5556,medium,TRUE,user_021,TKT-99563
100053,2025-10-02T00:00:00,3,Qlik,Qlik_App_04,prod,modify_type,table,Qlik_App_04_table_4151,BOOLEAN,DECIMAL,0,0,0,0,3279,high,FALSE,user_036,TKT-84478
100054,2025-10-02T00:00:00,3,DataWarehouse,Staging,dev,add_column,column,Staging_column_7971,,VARCHAR,0,0,0,0,26345,low,FALSE,user_030,TKT-30581
100055,2025-10-02T00:00:00,3,DataWarehouse,Core,dev,modify_type,table,Core_table_0339,DECIMAL,BOOLEAN,0,0,0,0,38553,high,FALSE,user_006,TKT-80855
100056,2025-10-02T00:00:00,3,DataWarehouse,Staging,dev,drop_table,table,Staging_table_4431,,,0,0,0,1,64911,low,FALSE,user_009,TKT-21122
100057,2025-10-02T00:00:00,3,BigData,Spark_Cluster_C,prod,add_column,table,Spark_Cluster_C_table_2984,,BIGINT,1,0,0,0,33275,low,TRUE,user_025,TKT-17564
100058,2025-10-02T00:00:00,3,BigData,Hadoop_Cluster_B,prod,add_table,table,Hadoop_Cluster_B_table_3811,,,0,0,1,0,3198,high,FALSE,user_046,TKT-26371
100059,2025-10-02T00:00:00,3,Glue,Glue_Job_007,prod,add_column,column,Glue_Job_007_column_1166,,DECIMAL,1,0,0,0,431,low,FALSE,user_012,TKT-53001
100060,2025-10-02T00:00:00,3,OnPrem,OnPrem_Srv_08,prod,add_index,column,OnPrem_Srv_08_column_1390,,,0,0,0,0,891,medium,FALSE,user_034,TKT-92856
100061,2025-10-02T00:00:00,3,OnPrem,OnPrem_Srv_01,prod,add_column,table,OnPrem_Srv_01_table_7658,,VARCHAR,2,0,0,0,1716,low,FALSE,user_047,TKT-70504
100062,2025-10-02T00:00:00,3,OnPrem,OnPrem_Srv_09,dev,add_table,view,OnPrem_Srv_09_view_9753,,,0,0,1,0,5613,medium,FALSE,user_034,TKT-35559
100063,2025-10-02T08:00:00,4,PostgreSQL,Audit,dev,add_table,view,Audit_view_2746,,,0,0,1,0,19244,low,FALSE,user_013,TKT-96231
100064,2025-10-02T08:00:00,4,Qlik,Qlik_App_10,dev,add_column,view,Qlik_App_10_view_6507,,DATE,1,0,0,0,6771,low,TRUE,user_014,TKT-67932
100065,2025-10-02T08:00:00,4,Qlik,Qlik_App_08,dev,add_column,column,Qlik_App_08_column_1008,,TIMESTAMP,1,0,0,0,9763,medium,FALSE,user_015,TKT-36660
100066,2025-10-02T08:00:00,4,Qlik,Qlik_App_01,dev,drop_column,table,Qlik_App_01_table_6354,BIGINT,,0,2,0,0,2353,low,FALSE,user_012,TKT-97046
100067,2025-10-02T08:00:00,4,Qlik,Qlik_App_04,prod,add_column,table,Qlik_App_04_table_2845,,DATE,3,0,0,0,4586,low,TRUE,user_020,TKT-58901
100068,2025-10-02T08:00:00,4,DataWarehouse,Core,dev,add_index,table,Core_table_3677,,,0,0,0,0,28093,low,TRUE,user_015,TKT-92970
100069,2025-10-02T08:00:00,4,DataWarehouse,Core,prod,drop_column,column,Core_column_1876,TEXT,,0,1,0,0,34360,low,FALSE,user_002,TKT-64615
100070,2025-10-02T08:00:00,4,DataWarehouse,Mart,dev,modify_type,view,Mart_view_0779,TIMESTAMP,VARCHAR,0,0,0,0,8140,high,FALSE,user_017,TKT-49499
100071,2025-10-02T08:00:00,4,Glue,Glue_Job_013,prod,add_table,column,Glue_Job_013_column_7015,,,0,0,1,0,5608,low,TRUE,user_042,TKT-19078
100072,2025-10-02T08:00:00,4,Glue,Glue_Job_009,prod,modify_type,view,Glue_Job_009_view_9300,TIMESTAMP,BOOLEAN,0,0,0,0,1120,medium,TRUE,user_007,TKT-56163
100073,2025-10-02T08:00:00,4,OnPrem,OnPrem_Srv_06,prod,drop_column,column,OnPrem_Srv_06_column_3639,TIMESTAMP,,0,0,0,0,5028,medium,FALSE,user_044,TKT-30049
100074,2025-10-02T16:00:00,5,PostgreSQL,Promotions,dev,add_column,table,Promotions_table_0957,,DECIMAL,2,0,0,0,1679,high,TRUE,user_024,TKT-90818
100075,2025-10-02T16:00:00,5,Qlik,Qlik_App_02,prod,drop_column,column,Qlik_App_02_column_6896,TIMESTAMP,,0,0,0,0,4120,medium,FALSE,user_047,TKT-80135
100076,2025-10-02T16:00:00,5,DataWarehouse,Staging,prod,modify_type,table,Staging_table_6431,VARCHAR,BIGINT,0,0,0,0,16457,low,FALSE,user_014,TKT-86367
100077,2025-10-02T16:00:00,5,BigData,Hadoop_Cluster_A,dev,drop_column,table,Hadoop_Cluster_A_table_3569,DECIMAL,,0,3,0,0,15884,low,FALSE,user_037,TKT-10281
100078,2025-10-02T16:00:00,5,BigData,Hadoop_Cluster_B,prod,add_column,table,Hadoop_Cluster_B_table_7474,,DATE,3,0,0,0,12696,low,FALSE,user_020,TKT-49062
100079,2025-10-02T16:00:00,5,Glue,Glue_Job_005,prod,add_view,table,Glue_Job_005_table_6090,,,0,0,0,0,3582,medium,TRUE,user_027,TKT-52823
100080,2025-10-02T16:00:00,5,Glue,Glue_Job_005,prod,drop_column,table,Glue_Job_005_table_8134,BOOLEAN,,0,2,0,0,3521,high,TRUE,user_013,TKT-95150
100081,2025-10-02T16:00:00,5,OnPrem,OnPrem_Srv_01,prod,add_table,table,OnPrem_Srv_01_table_7233,,,0,0,1,0,830,low,FALSE,user_029,TKT-93360
100082,2025-10-02T16:00:00,5,OnPrem,OnPrem_Srv_09,dev,add_column,view,OnPrem_Srv_09_view_1178,,INTEGER,2,0,0,0,576,medium,FALSE,user_015,TKT-83770
100083,2025-10-02T16:00:00,5,OnPrem,OnPrem_Srv_09,dev,modify_type,table,OnPrem_Srv_09_table_4883,BIGINT,TIMESTAMP,0,0,0,0,548,high,FALSE,user_027,TKT-52652
100084,2025-10-03T00:00:00,6,PostgreSQL,Notifications,prod,drop_table,table,Notifications_table_8106,,,0,0,0,1,2701,low,FALSE,user_036,TKT-22149
100085,2025-10-03T00:00:00,6,Qlik,Qlik_App_09,prod,drop_column,table,Qlik_App_09_table_6296,DECIMAL,,0,1,0,0,8689,medium,TRUE,user_039,TKT-46041
100086,2025-10-03T00:00:00,6,DataWarehouse,Staging,prod,drop_column,column,Staging_column_1101,DATE,,0,0,0,0,8840,low,FALSE,user_035,TKT-14358
100087,2025-10-03T00:00:00,6,DataWarehouse,Mart,prod,drop_column,table,Mart_table_7844,VARCHAR,,0,1,0,0,70398,medium,FALSE,user_002,TKT-80587
100088,2025-10-03T00:00:00,6,DataWarehouse,Core,prod,add_column,column,Core_column_9425,,VARCHAR,2,0,0,0,4667,low,FALSE,user_036,TKT-52828
100089,2025-10-03T00:00:00,6,BigData,Hadoop_Cluster_A,prod,modify_type,column,Hadoop_Cluster_A_column_0149,TEXT,TIMESTAMP,0,0,0,0,49676,medium,TRUE,user_016,TKT-20699
100090,2025-10-03T00:00:00,6,BigData,Hadoop_Cluster_A,prod,add_table,view,Hadoop_Cluster_A_view_5300,,,0,0,1,0,11088,low,FALSE,user_026,TKT-46035
100091,2025-10-03T00:00:00,6,BigData,Spark_Cluster_C,prod,add_column,table,Spark_Cluster_C_table_7630,,TIMESTAMP,1,0,0,0,12755,low,FALSE,user_027,TKT-30609
100092,2025-10-03T00:00:00,6,BigData,Spark_Cluster_C,prod,add_column,column,Spark_Cluster_C_column_2531,,INTEGER,2,0,0,0,58751,medium,FALSE,user_004,TKT-26920
100093,2025-10-03T00:00:00,6,Glue,Glue_Job_019,prod,drop_column,table,Glue_Job_019_table_3851,BIGINT,,0,0,0,0,1696,low,FALSE,user_046,TKT-19074
100094,2025-10-03T00:00:00,6,Glue,Glue_Job_020,prod,modify_type,column,Glue_Job_020_column_7871,TIMESTAMP,DECIMAL,0,0,0,0,1976,low,FALSE,user_007,TKT-36715
100095,2025-10-03T00:00:00,6,Glue,Glue_Job_006,prod,add_column,column,Glue_Job_006_column_9093,,INTEGER,3,0,0,0,744,low,FALSE,user_021,TKT-39300
100096,2025-10-03T00:00:00,6,OnPrem,OnPrem_Srv_06,prod,add_column,index,OnPrem_Srv_06_index_0017,,DECIMAL,2,0,0,0,1390,high,FALSE,user_010,TKT-30281
100097,2025-10-03T08:00:00,7,PostgreSQL,Notifications,prod,add_column,column,Notifications_column_3457,,DATE,1,0,0,0,3010,low,FALSE,user_031,TKT-58355
100098,2025-10-03T08:00:00,7,PostgreSQL,Returns,prod,add_column,table,Returns_table_3840,,DECIMAL,2,0,0,0,1732,low,FALSE,user_004,TKT-36189
100099,2025-10-03T08:00:00,7,PostgreSQL,Catalog,dev,drop_column,column,Catalog_column_9128,BIGINT,,0,0,0,0,1048,low,FALSE,user_025,TKT-87425
100100,2025-10-03T08:00:00,7,Qlik,Qlik_App_09,dev,add_column,column,Qlik_App_09_column_0302,,DECIMAL,1,0,0,0,417,low,FALSE,user_022,TKT-68005
100101,2025-10-03T08:00:00,7,Qlik,Qlik_App_02,dev,add_column,table,Qlik_App_02_table_3755,,DATE,2,0,0,0,18240,low,TRUE,user_047,TKT-19496
100102,2025-10-03T08:00:00,7,Qlik,Qlik_App_08,dev,drop_table,view,Qlik_App_08_view_3082,,,0,0,0,1,5561,low,TRUE,user_046,TKT-90102
100103,2025-10-03T08:00:00,7,DataWarehouse,Staging,prod,add_view,table,Staging_table_7903,,,0,0,0,0,45359,medium,TRUE,user_004,TKT-19596
100104,2025-10-03T08:00:00,7,DataWarehouse,Mart,prod,add_table,column,Mart_column_2564,,,0,0,1,0,15171,low,FALSE,user_003,TKT-26087
100105,2025-10-03T08:00:00,7,BigData,Hadoop_Cluster_A,prod,modify_type,index,Hadoop_Cluster_A_index_8624,DATE,TEXT,0,0,0,0,31607,medium,FALSE,user_049,TKT-94730
100106,2025-10-03T08:00:00,7,Glue,Glue_Job_014,prod,modify_type,column,Glue_Job_014_column_5625,TEXT,DATE,0,0,0,0,1670,low,TRUE,user_003,TKT-64220
100107,2025-10-03T08:00:00,7,Glue,Glue_Job_019,prod,add_column,table,Glue_Job_019_table_8000,,DATE,4,0,0,0,3294,low,FALSE,user_041,TKT-23493
100108,2025-10-03T16:00:00,8,PostgreSQL,Pricing,dev,add_column,table,Pricing_table_7897,,DATE,1,0,0,0,3449,low,TRUE,user_043,TKT-12643
100109,2025-10-03T16:00:00,8,PostgreSQL,Auth,prod,add_view,table,Auth_table_2540,,,0,0,0,0,5127,low,FALSE,user_021,TKT-38228
100110,2025-10-03T16:00:00,8,DataWarehouse,Core,prod,drop_column,table,Core_table_6172,BIGINT,,0,2,0,0,77215,low,FALSE,user_046,TKT-88021
100111,2025-10-03T16:00:00,8,DataWarehouse,Core,prod,add_index,table,Core_table_8536,,,0,0,0,0,16280,low,FALSE,user_035,TKT-77263
100112,2025-10-03T16:00:00,8,BigData,Hadoop_Cluster_B,dev,drop_column,table,Hadoop_Cluster_B_table_9260,INTEGER,,0,1,0,0,27543,low,FALSE,user_023,TKT-98664
100113,2025-10-03T16:00:00,8,BigData,Hadoop_Cluster_A,prod,drop_column,column,Hadoop_Cluster_A_column_8079,DECIMAL,,0,2,0,0,6445,medium,FALSE,user_045,TKT-75794
100114,2025-10-03T16:00:00,8,BigData,Hadoop_Cluster_A,prod,modify_type,column,Hadoop_Cluster_A_column_6510,TIMESTAMP,VARCHAR,0,0,0,0,27248,low,TRUE,user_012,TKT-73370
100115,2025-10-03T16:00:00,8,Glue,Glue_Job_003,prod,add_column,column,Glue_Job_003_column_6789,,VARCHAR,2,0,0,0,18176,low,FALSE,user_011,TKT-97489
100116,2025-10-04T00:00:00,9,DataWarehouse,Core,dev,modify_type,column,Core_column_6764,VARCHAR,TIMESTAMP,0,0,0,0,31281,medium,TRUE,user_035,TKT-88112
100117,2025-10-04T00:00:00,9,DataWarehouse,Core,prod,add_index,table,Core_table_9795,,,0,0,0,0,24993,low,FALSE,user_021,TKT-81906
100118,2025-10-04T00:00:00,9,DataWarehouse,Mart,prod,add_table,view,Mart_view_7419,,,0,0,1,0,153112,high,FALSE,user_027,TKT-93297
100119,2025-10-04T00:00:00,9,Glue,Glue_Job_014,dev,add_index,table,Glue_Job_014_table_7790,,,0,0,0,0,3626,medium,TRUE,user_020,TKT-85948
100120,2025-10-04T08:00:00,10,PostgreSQL,Pricing,prod,drop_column,table,Pricing_table_0041,TEXT,,0,0,0,0,4092,medium,TRUE,user_002,TKT-91768
100121,2025-10-04T08:00:00,10,Qlik,Qlik_App_03,prod,add_column,column,Qlik_App_03_column_1349,,DECIMAL,2,0,0,0,7904,low,TRUE,user_001,TKT-99388
100122,2025-10-04T08:00:00,10,DataWarehouse,Core,dev,modify_type,index,Core_index_2395,BOOLEAN,INTEGER,0,0,0,0,36355,low,FALSE,user_023,TKT-95925
100123,2025-10-04T08:00:00,10,DataWarehouse,Mart,prod,add_column,index,Mart_index_8334,,VARCHAR,2,0,0,0,70193,low,FALSE,user_008,TKT-47418
100124,2025-10-04T08:00:00,10,DataWarehouse,Core,prod,add_index,table,Core_table_0856,,,0,0,0,0,24862,low,FALSE,user_039,TKT-59334
100125,2025-10-04T08:00:00,10,BigData,Hadoop_Cluster_A,dev,modify_type,column,Hadoop_Cluster_A_column_6247,TEXT,BIGINT,0,0,0,0,43820,low,FALSE,user_030,TKT-45820
100126,2025-10-04T08:00:00,10,BigData,Hadoop_Cluster_A,dev,add_table,table,Hadoop_Cluster_A_table_0332,,,0,0,1,0,33512,high,FALSE,user_015,TKT-24376
100127,2025-10-04T08:00:00,10,Glue,Glue_Job_002,prod,add_column,column,Glue_Job_002_column_4009,,TIMESTAMP,2,0,0,0,6622,low,TRUE,user_031,TKT-82982
100128,2025-10-04T08:00:00,10,Glue,Glue_Job_006,prod,modify_type,table,Glue_Job_006_table_2243,TEXT,TEXT,0,0,0,0,2450,low,TRUE,user_023,TKT-92279
100129,2025-10-04T08:00:00,10,Glue,Glue_Job_005,prod,drop_column,table,Glue_Job_005_table_5907,DATE,,0,1,0,0,4612,low,FALSE,user_005,TKT-89239
100130,2025-10-04T08:00:00,10,Glue,Glue_Job_005,prod,add_column,index,Glue_Job_005_index_7940,,BIGINT,0,0,0,0,11229,high,FALSE,user_027,TKT-87362
100131,2025-10-04T16:00:00,11,PostgreSQL,Promotions,dev,drop_table,table,Promotions_table_3237,,,0,0,0,1,41478,low,FALSE,user_023,TKT-60098
100132,2025-10-04T16:00:00,11,PostgreSQL,Notifications,prod,modify_type,table,Notifications_table_9496,DATE,VARCHAR,0,0,0,0,489,low,FALSE,user_034,TKT-36762
100133,2025-10-04T16:00:00,11,PostgreSQL,Inventory,prod,modify_type,table,Inventory_table_3731,BOOLEAN,DECIMAL,0,0,0,0,15747,low,FALSE,user_047,TKT-29595
100134,2025-10-04T16:00:00,11,PostgreSQL,Pricing,prod,add_table,index,Pricing_index_5868,,,0,0,1,0,14212,low,TRUE,user_006,TKT-82702
100135,2025-10-04T16:00:00,11,Qlik,Qlik_App_02,prod,modify_type,view,Qlik_App_02_view_1971,BOOLEAN,BOOLEAN,0,0,0,0,10729,low,FALSE,user_009,TKT-92035
100136,2025-10-04T16:00:00,11,DataWarehouse,Mart,dev,modify_type,column,Mart_column_4779,VARCHAR,TIMESTAMP,0,0,0,0,32268,medium,FALSE,user_021,TKT-61151
100137,2025-10-04T16:00:00,11,DataWarehouse,Mart,prod,add_view,column,Mart_column_8734,,,0,0,0,0,36865,low,FALSE,user_040,TKT-88471
100138,2025-10-04T16:00:00,11,Glue,Glue_Job_003,prod,add_column,column,Glue_Job_003_column_5410,,DATE,3,0,0,0,6097,high,FALSE,user_042,TKT-66699
100139,2025-10-04T16:00:00,11,Glue,Glue_Job_007,dev,add_column,table,Glue_Job_007_table_9243,,TIMESTAMP,2,0,0,0,3225,low,FALSE,user_019,TKT-99400
100140,2025-10-04T16:00:00,11,OnPrem,OnPrem_Srv_02,dev,add_column,column,OnPrem_Srv_02_column_6847,,TEXT,1,0,0,0,3050,low,FALSE,user_031,TKT-22237
100141,2025-10-05T00:00:00,12,PostgreSQL,Reporting,prod,add_column,column,Reporting_column_6057,,TIMESTAMP,2,0,0,0,2268,low,FALSE,user_027,TKT-15793
100142,2025-10-05T00:00:00,12,Qlik,Qlik_App_07,prod,add_column,table,Qlik_App_07_table_7095,,BIGINT,1,0,0,0,1369,medium,TRUE,user_037,TKT-68272
100143,2025-10-05T00:00:00,12,DataWarehouse,Staging,prod,add_column,table,Staging_table_1520,,BIGINT,2,0,0,0,16541,low,FALSE,user_036,TKT-36654
100144,2025-10-05T00:00:00,12,Glue,Glue_Job_003,prod,add_column,column,Glue_Job_003_column_1462,,INTEGER,2,0,0,0,4135,medium,FALSE,user_010,TKT-65860
100145,2025-10-05T00:00:00,12,Glue,Glue_Job_004,prod,add_index,table,Glue_Job_004_table_2065,,,0,0,0,0,2310,low,TRUE,user_025,TKT-11401
100146,2025-10-05T08:00:00,13,Qlik,Qlik_App_06,prod,add_column,table,Qlik_App_06_table_4026,,BOOLEAN,1,0,0,0,4645,medium,FALSE,user_043,TKT-65668
100147,2025-10-05T08:00:00,13,Qlik,Qlik_App_01,prod,drop_column,table,Qlik_App_01_table_8836,DECIMAL,,0,0,0,0,1417,low,FALSE,user_015,TKT-59067
100148,2025-10-05T08:00:00,13,DataWarehouse,Core,dev,drop_table,table,Core_table_7469,,,0,0,0,1,9926,medium,FALSE,user_013,TKT-65751
100149,2025-10-05T08:00:00,13,BigData,Hadoop_Cluster_A,prod,add_index,table,Hadoop_Cluster_A_table_5686,,,0,0,0,0,4068,low,TRUE,user_032,TKT-31625
100150,2025-10-05T08:00:00,13,BigData,Spark_Cluster_C,prod,add_table,table,Spark_Cluster_C_table_0493,,,0,0,1,0,10728,low,FALSE,user_033,TKT-34272
100151,2025-10-05T08:00:00,13,BigData,Spark_Cluster_C,prod,add_view,table,Spark_Cluster_C_table_7187,,,0,0,0,0,13284,low,FALSE,user_006,TKT-68627
100152,2025-10-05T08:00:00,13,Glue,Glue_Job_008,prod,modify_type,table,Glue_Job_008_table_5159,INTEGER,VARCHAR,0,0,0,0,1681,medium,TRUE,user_050,TKT-97893
