edge_id,timestamp,src_system,src_component,src_object_name,dst_system,dst_component,dst_object_name,relation_type,change_id,is_breaking
500028,2025-10-01T08:00:00,PostgreSQL,Promotions,Promotions_table_3926,Qlik,Qlik_App_01,Qlik_App_01_table_6971,derives,100028,FALSE
500029,2025-10-01T08:00:00,DataWarehouse,Staging,Staging_table_4781,PostgreSQL,Pricing,Pricing_table_0717,derives,100029,FALSE
500030,2025-10-01T08:00:00,DataWarehouse,Staging,Staging_table_1253,PostgreSQL,Compliance,Compliance_table_6997,copies,100030,FALSE
500031,2025-10-01T08:00:00,PostgreSQL,Accounts,Accounts_table_3178,OnPrem,OnPrem_Srv_08,OnPrem_Srv_08_table_7731,joins,100031,FALSE
500032,2025-10-01T08:00:00,Glue,Glue_Job_013,Glue_Job_013_table_6239,Qlik,Qlik_App_03,Qlik_App_03_table_6091,copies,100032,FALSE
500033,2025-10-01T16:00:00,OnPrem,OnPrem_Srv_05,OnPrem_Srv_05_table_9946,PostgreSQL,Payments,Payments_table_7241,derives,100033,TRUE
500034,2025-10-01T16:00:00,Glue,Glue_Job_015,Glue_Job_015_table_8151,BigData,Spark_Cluster_C,Spark_Cluster_C_table_2126,derives,100034,FALSE
500035,2025-10-01T16:00:00,Qlik,Qlik_App_01,Qlik_App_01_table_4633,PostgreSQL,Shipping,Shipping_table_6289,derives,100035,FALSE
500036,2025-10-01T16:00:00,Qlik,Qlik_App_08,Qlik_App_08_table_9505,DataWarehouse,Mart,Mart_table_1461,joins,100036,FALSE
500037,2025-10-01T16:00:00,OnPrem,OnPrem_Srv_09,OnPrem_Srv_09_table_6317,DataWarehouse,Core,Core_table_6470,copies,100037,FALSE
500038,2025-10-01T16:00:00,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_2833,Qlik,Qlik_App_08,Qlik_App_08_table_2825,aggregates,100038,FALSE
500039,2025-10-01T16:00:00,OnPrem,OnPrem_Srv_08,OnPrem_Srv_08_table_6942,BigData,Spark_Cluster_C,Spark_Cluster_C_table_9507,aggregates,100039,FALSE
500040,2025-10-01T16:00:00,Qlik,Qlik_App_03,Qlik_App_03_table_9185,OnPrem,OnPrem_Srv_06,OnPrem_Srv_06_table_2713,copies,100040,FALSE
500041,2025-10-01T16:00:00,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_2205,Glue,Glue_Job_020,Glue_Job_020_table_1121,aggregates,100041,FALSE
500042,2025-10-01T16:00:00,Glue,Glue_Job_015,Glue_Job_015_table_2372,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_2892,copies,100042,FALSE
500043,2025-10-01T16:00:00,Qlik,Qlik_App_10,Qlik_App_10_table_7791,OnPrem,OnPrem_Srv_08,OnPrem_Srv_08_table_9832,copies,100043,FALSE
500044,2025-10-01T16:00:00,PostgreSQL,Returns,Returns_table_8394,OnPrem,OnPrem_Srv_05,OnPrem_Srv_05_table_3508,derives,100044,FALSE
500045,2025-10-01T16:00:00,BigData,Spark_Cluster_C,Spark_Cluster_C_table_3573,DataWarehouse,Core,Core_table_5976,derives,100045,FALSE
500046,2025-10-01T16:00:00,Glue,Glue_Job_007,Glue_Job_007_table_2483,PostgreSQL,Accounts,Accounts_table_8059,derives,100046,FALSE
500047,2025-10-01T16:00:00,Qlik,Qlik_App_06,Qlik_App_06_table_8039,OnPrem,OnPrem_Srv_03,OnPrem_Srv_03_table_4874,derives,100047,FALSE
500048,2025-10-01T16:00:00,PostgreSQL,Orders,Orders_table_6723,PostgreSQL,Returns,Returns_table_7219,derives,100048,FALSE
500049,2025-10-01T16:00:00,Glue,Glue_Job_016,Glue_Job_016_table_4178,DataWarehouse,Staging,Staging_table_8706,aggregates,100049,FALSE
500050,2025-10-01T16:00:00,PostgreSQL,Pricing,Pricing_table_3187,Qlik,Qlik_App_07,Qlik_App_07_table_2574,aggregates,100050,FALSE
500051,2025-10-01T16:00:00,Qlik,Qlik_App_09,Qlik_App_09_table_7142,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_1623,derives,100051,FALSE
500052,2025-10-02T00:00:00,OnPrem,OnPrem_Srv_02,OnPrem_Srv_02_table_5491,Qlik,Qlik_App_06,Qlik_App_06_table_4125,aggregates,100052,FALSE
500053,2025-10-02T00:00:00,BigData,Spark_Cluster_C,Spark_Cluster_C_table_6123,DataWarehouse,Mart,Mart_table_0482,aggregates,100053,TRUE
500054,2025-10-02T00:00:00,Qlik,Qlik_App_03,Qlik_App_03_table_3005,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_5137,derives,100054,TRUE
500055,2025-10-02T00:00:00,PostgreSQL,Notifications,Notifications_table_4874,Qlik,Qlik_App_10,Qlik_App_10_table_4807,derives,100055,FALSE
500056,2025-10-02T00:00:00,Qlik,Qlik_App_07,Qlik_App_07_table_9127,DataWarehouse,Staging,Staging_table_3043,copies,100056,TRUE
500057,2025-10-02T00:00:00,Qlik,Qlik_App_10,Qlik_App_10_table_3242,PostgreSQL,Notifications,Notifications_table_0546,derives,100057,FALSE
500058,2025-10-02T00:00:00,Glue,Glue_Job_017,Glue_Job_017_table_1772,OnPrem,OnPrem_Srv_05,OnPrem_Srv_05_table_9455,copies,100058,FALSE
500059,2025-10-02T00:00:00,Glue,Glue_Job_005,Glue_Job_005_table_7487,Glue,Glue_Job_011,Glue_Job_011_table_8203,copies,100059,TRUE
500060,2025-10-02T00:00:00,PostgreSQL,Orders,Orders_table_7215,Qlik,Qlik_App_08,Qlik_App_08_table_0727,derives,100060,FALSE
500061,2025-10-02T00:00:00,PostgreSQL,Pricing,Pricing_table_7491,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_9180,derives,100061,TRUE
500062,2025-10-02T00:00:00,BigData,Spark_Cluster_C,Spark_Cluster_C_table_8229,OnPrem,OnPrem_Srv_05,OnPrem_Srv_05_table_9904,derives,100062,FALSE
500063,2025-10-02T08:00:00,DataWarehouse,Staging,Staging_table_0363,BigData,Spark_Cluster_C,Spark_Cluster_C_table_2605,aggregates,100063,FALSE
500064,2025-10-02T08:00:00,Glue,Glue_Job_007,Glue_Job_007_table_1137,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_2065,derives,100064,FALSE
500065,2025-10-02T08:00:00,Glue,Glue_Job_004,Glue_Job_004_table_1041,OnPrem,OnPrem_Srv_04,OnPrem_Srv_04_table_9110,copies,100065,FALSE
500066,2025-10-02T08:00:00,Glue,Glue_Job_001,Glue_Job_001_table_9646,DataWarehouse,Core,Core_table_3357,derives,100066,FALSE
500067,2025-10-02T08:00:00,DataWarehouse,Staging,Staging_table_0934,PostgreSQL,Orders,Orders_table_3599,derives,100067,FALSE
500068,2025-10-02T08:00:00,OnPrem,OnPrem_Srv_04,OnPrem_Srv_04_table_8885,Qlik,Qlik_App_07,Qlik_App_07_table_5656,copies,100068,FALSE
500069,2025-10-02T08:00:00,DataWarehouse,Staging,Staging_table_1390,Glue,Glue_Job_008,Glue_Job_008_table_8358,copies,100069,FALSE
500070,2025-10-02T08:00:00,PostgreSQL,Promotions,Promotions_table_8906,OnPrem,OnPrem_Srv_06,OnPrem_Srv_06_table_9128,copies,100070,FALSE
500071,2025-10-02T08:00:00,BigData,Spark_Cluster_C,Spark_Cluster_C_table_3145,PostgreSQL,Orders,Orders_table_9632,aggregates,100071,FALSE
500072,2025-10-02T08:00:00,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_4905,OnPrem,OnPrem_Srv_06,OnPrem_Srv_06_table_7868,copies,100072,FALSE
500073,2025-10-02T08:00:00,OnPrem,OnPrem_Srv_03,OnPrem_Srv_03_table_9275,Qlik,Qlik_App_06,Qlik_App_06_table_8947,derives,100073,FALSE
500074,2025-10-02T16:00:00,PostgreSQL,Billing,Billing_table_1395,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_9462,copies,100074,FALSE
500075,2025-10-02T16:00:00,PostgreSQL,Billing,Billing_table_8220,BigData,Spark_Cluster_C,Spark_Cluster_C_table_2114,derives,100075,FALSE
500076,2025-10-02T16:00:00,Qlik,Qlik_App_10,Qlik_App_10_table_5896,Glue,Glue_Job_012,Glue_Job_012_table_7116,aggregates,100076,FALSE
500077,2025-10-02T16:00:00,Glue,Glue_Job_003,Glue_Job_003_table_9201,PostgreSQL,Suppliers,Suppliers_table_1230,derives,100077,FALSE
500078,2025-10-02T16:00:00,OnPrem,OnPrem_Srv_04,OnPrem_Srv_04_table_7176,Glue,Glue_Job_016,Glue_Job_016_table_9557,joins,100078,FALSE
500079,2025-10-02T16:00:00,PostgreSQL,Customers,Customers_table_3125,OnPrem,OnPrem_Srv_01,OnPrem_Srv_01_table_9520,copies,100079,TRUE
500080,2025-10-02T16:00:00,PostgreSQL,Customers,Customers_table_9830,DataWarehouse,Core,Core_table_4115,copies,100080,FALSE
500081,2025-10-02T16:00:00,PostgreSQL,Orders,Orders_table_7118,PostgreSQL,Notifications,Notifications_table_9154,derives,100081,FALSE
500082,2025-10-02T16:00:00,OnPrem,OnPrem_Srv_02,OnPrem_Srv_02_table_5244,OnPrem,OnPrem_Srv_05,OnPrem_Srv_05_table_6543,derives,100082,FALSE
500083,2025-10-02T16:00:00,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_6788,DataWarehouse,Core,Core_table_2138,aggregates,100083,FALSE
500084,2025-10-03T00:00:00,OnPrem,OnPrem_Srv_08,OnPrem_Srv_08_table_7286,PostgreSQL,Catalog,Catalog_table_1301,copies,100084,TRUE
500085,2025-10-03T00:00:00,PostgreSQL,Customers,Customers_table_9777,Qlik,Qlik_App_10,Qlik_App_10_table_0483,copies,100085,FALSE
500086,2025-10-03T00:00:00,Glue,Glue_Job_003,Glue_Job_003_table_6603,Qlik,Qlik_App_10,Qlik_App_10_table_2350,copies,100086,FALSE
500087,2025-10-03T00:00:00,Glue,Glue_Job_008,Glue_Job_008_table_7980,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_2429,copies,100087,FALSE
500088,2025-10-03T00:00:00,Glue,Glue_Job_016,Glue_Job_016_table_3084,PostgreSQL,Analytics,Analytics_table_3720,derives,100088,FALSE
500089,2025-10-03T00:00:00,OnPrem,OnPrem_Srv_02,OnPrem_Srv_02_table_6258,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_9794,derives,100089,FALSE
500090,2025-10-03T00:00:00,Qlik,Qlik_App_03,Qlik_App_03_table_8436,OnPrem,OnPrem_Srv_06,OnPrem_Srv_06_table_4108,copies,100090,TRUE
500091,2025-10-03T00:00:00,DataWarehouse,Core,Core_table_8985,Qlik,Qlik_App_04,Qlik_App_04_table_4260,copies,100091,TRUE
500092,2025-10-03T00:00:00,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_2495,Glue,Glue_Job_014,Glue_Job_014_table_2720,aggregates,100092,FALSE
500093,2025-10-03T00:00:00,BigData,Spark_Cluster_C,Spark_Cluster_C_table_9012,PostgreSQL,Returns,Returns_table_3293,aggregates,100093,FALSE
500094,2025-10-03T00:00:00,OnPrem,OnPrem_Srv_07,OnPrem_Srv_07_table_4482,OnPrem,OnPrem_Srv_05,OnPrem_Srv_05_table_7899,derives,100094,TRUE
500095,2025-10-03T00:00:00,Qlik,Qlik_App_04,Qlik_App_04_table_4840,OnPrem,OnPrem_Srv_02,OnPrem_Srv_02_table_7395,derives,100095,FALSE
500096,2025-10-03T00:00:00,BigData,Spark_Cluster_C,Spark_Cluster_C_table_7089,Glue,Glue_Job_002,Glue_Job_002_table_0079,derives,100096,FALSE
500097,2025-10-03T08:00:00,DataWarehouse,Mart,Mart_table_8965,BigData,Spark_Cluster_C,Spark_Cluster_C_table_6494,copies,100097,FALSE
500098,2025-10-03T08:00:00,PostgreSQL,Reporting,Reporting_table_5608,PostgreSQL,Analytics,Analytics_table_0770,aggregates,100098,FALSE
500099,2025-10-03T08:00:00,OnPrem,OnPrem_Srv_04,OnPrem_Srv_04_table_2161,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_7032,copies,100099,FALSE
500100,2025-10-03T08:00:00,DataWarehouse,Core,Core_table_4559,PostgreSQL,Catalog,Catalog_table_6580,derives,100100,FALSE
500101,2025-10-03T08:00:00,Glue,Glue_Job_016,Glue_Job_016_table_0449,Qlik,Qlik_App_08,Qlik_App_08_table_6020,derives,100101,FALSE
500102,2025-10-03T08:00:00,DataWarehouse,Core,Core_table_2980,DataWarehouse,Staging,Staging_table_2650,derives,100102,FALSE
500103,2025-10-03T08:00:00,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_5589,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_2024,copies,100103,FALSE
500104,2025-10-03T08:00:00,Glue,Glue_Job_020,Glue_Job_020_table_0594,Qlik,Qlik_App_04,Qlik_App_04_table_3391,derives,100104,FALSE
500105,2025-10-03T08:00:00,BigData,Spark_Cluster_C,Spark_Cluster_C_table_1284,DataWarehouse,Mart,Mart_table_0660,aggregates,100105,FALSE
500106,2025-10-03T08:00:00,DataWarehouse,Core,Core_table_2611,PostgreSQL,Catalog,Catalog_table_6901,copies,100106,TRUE
500107,2025-10-03T08:00:00,OnPrem,OnPrem_Srv_09,OnPrem_Srv_09_table_6869,BigData,Spark_Cluster_C,Spark_Cluster_C_table_1432,joins,100107,FALSE
500108,2025-10-03T16:00:00,Qlik,Qlik_App_09,Qlik_App_09_table_9615,Qlik,Qlik_App_05,Qlik_App_05_table_0672,copies,100108,FALSE
500109,2025-10-03T16:00:00,DataWarehouse,Staging,Staging_table_6589,Qlik,Qlik_App_08,Qlik_App_08_table_8617,derives,100109,FALSE
500110,2025-10-03T16:00:00,Qlik,Qlik_App_10,Qlik_App_10_table_3138,PostgreSQL,Inventory,Inventory_table_6986,joins,100110,FALSE
500111,2025-10-03T16:00:00,DataWarehouse,Mart,Mart_table_6520,PostgreSQL,Customers,Customers_table_1750,aggregates,100111,FALSE
500112,2025-10-03T16:00:00,DataWarehouse,Mart,Mart_table_6412,Qlik,Qlik_App_03,Qlik_App_03_table_0008,copies,100112,FALSE
500113,2025-10-03T16:00:00,DataWarehouse,Mart,Mart_table_5111,Qlik,Qlik_App_08,Qlik_App_08_table_7168,copies,100113,FALSE
500114,2025-10-03T16:00:00,OnPrem,OnPrem_Srv_07,OnPrem_Srv_07_table_1530,PostgreSQL,Catalog,Catalog_table_9787,derives,100114,TRUE
500115,2025-10-03T16:00:00,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_0588,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_9178,derives,100115,FALSE
500116,2025-10-04T00:00:00,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_9263,Glue,Glue_Job_002,Glue_Job_002_table_1959,derives,100116,FALSE
500117,2025-10-04T00:00:00,PostgreSQL,Pricing,Pricing_table_4647,Glue,Glue_Job_020,Glue_Job_020_table_0393,joins,100117,TRUE
500118,2025-10-04T00:00:00,OnPrem,OnPrem_Srv_04,OnPrem_Srv_04_table_5662,OnPrem,OnPrem_Srv_05,OnPrem_Srv_05_table_6143,copies,100118,FALSE
500119,2025-10-04T00:00:00,OnPrem,OnPrem_Srv_07,OnPrem_Srv_07_table_1461,PostgreSQL,Promotions,Promotions_table_2724,copies,100119,FALSE
500120,2025-10-04T08:00:00,Glue,Glue_Job_009,Glue_Job_009_table_2525,OnPrem,OnPrem_Srv_08,OnPrem_Srv_08_table_9278,derives,100120,FALSE
500121,2025-10-04T08:00:00,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_0406,OnPrem,OnPrem_Srv_09,OnPrem_Srv_09_table_7987,derives,100121,FALSE
500122,2025-10-04T08:00:00,OnPrem,OnPrem_Srv_09,OnPrem_Srv_09_table_8922,OnPrem,OnPrem_Srv_02,OnPrem_Srv_02_table_4379,derives,100122,FALSE
500123,2025-10-04T08:00:00,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_0704,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_5483,copies,100123,FALSE
500124,2025-10-04T08:00:00,PostgreSQL,Auth,Auth_table_3630,Glue,Glue_Job_014,Glue_Job_014_table_3629,joins,100124,FALSE
500125,2025-10-04T08:00:00,PostgreSQL,Reporting,Reporting_table_8612,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_0594,derives,100125,FALSE
500126,2025-10-04T08:00:00,Qlik,Qlik_App_09,Qlik_App_09_table_9102,Glue,Glue_Job_010,Glue_Job_010_table_4659,derives,100126,FALSE
500127,2025-10-04T08:00:00,PostgreSQL,Auth,Auth_table_2121,OnPrem,OnPrem_Srv_02,OnPrem_Srv_02_table_4021,copies,100127,FALSE
500128,2025-10-04T08:00:00,DataWarehouse,Mart,Mart_table_3362,Qlik,Qlik_App_09,Qlik_App_09_table_6584,derives,100128,FALSE
500129,2025-10-04T08:00:00,Qlik,Qlik_App_08,Qlik_App_08_table_1901,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_9650,copies,100129,FALSE
500130,2025-10-04T08:00:00,Qlik,Qlik_App_05,Qlik_App_05_table_6314,OnPrem,OnPrem_Srv_10,OnPrem_Srv_10_table_8316,joins,100130,FALSE
500131,2025-10-04T16:00:00,DataWarehouse,Core,Core_table_0383,Qlik,Qlik_App_03,Qlik_App_03_table_9749,derives,100131,FALSE
500132,2025-10-04T16:00:00,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_9430,DataWarehouse,Staging,Staging_table_6906,aggregates,100132,FALSE
500133,2025-10-04T16:00:00,OnPrem,OnPrem_Srv_06,OnPrem_Srv_06_table_1208,Glue,Glue_Job_011,Glue_Job_011_table_1961,copies,100133,FALSE
500134,2025-10-04T16:00:00,Qlik,Qlik_App_06,Qlik_App_06_table_4495,BigData,Spark_Cluster_C,Spark_Cluster_C_table_1947,derives,100134,FALSE
500135,2025-10-04T16:00:00,Glue,Glue_Job_017,Glue_Job_017_table_7743,PostgreSQL,Audit,Audit_table_5443,derives,100135,FALSE
500136,2025-10-04T16:00:00,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_7902,Qlik,Qlik_App_08,Qlik_App_08_table_7471,aggregates,100136,FALSE
500137,2025-10-04T16:00:00,Glue,Glue_Job_009,Glue_Job_009_table_3176,BigData,Spark_Cluster_C,Spark_Cluster_C_table_4898,aggregates,100137,FALSE
500138,2025-10-04T16:00:00,OnPrem,OnPrem_Srv_02,OnPrem_Srv_02_table_2556,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_5410,aggregates,100138,FALSE
500139,2025-10-04T16:00:00,PostgreSQL,Audit,Audit_table_7652,OnPrem,OnPrem_Srv_07,OnPrem_Srv_07_table_5576,copies,100139,FALSE
500140,2025-10-04T16:00:00,Qlik,Qlik_App_08,Qlik_App_08_table_7759,Qlik,Qlik_App_02,Qlik_App_02_table_5087,aggregates,100140,FALSE
500141,2025-10-05T00:00:00,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_8390,BigData,Spark_Cluster_C,Spark_Cluster_C_table_6092,joins,100141,FALSE
500142,2025-10-05T00:00:00,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_7123,DataWarehouse,Mart,Mart_table_5843,joins,100142,FALSE
500143,2025-10-05T00:00:00,Qlik,Qlik_App_09,Qlik_App_09_table_2017,PostgreSQL,Suppliers,Suppliers_table_9389,copies,100143,TRUE
500144,2025-10-05T00:00:00,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_3842,Glue,Glue_Job_014,Glue_Job_014_table_8017,derives,100144,TRUE
500145,2025-10-05T00:00:00,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_2746,Qlik,Qlik_App_01,Qlik_App_01_table_6092,derives,100145,FALSE
500146,2025-10-05T08:00:00,BigData,Spark_Cluster_C,Spark_Cluster_C_table_4427,Glue,Glue_Job_004,Glue_Job_004_table_6920,aggregates,100146,FALSE
500147,2025-10-05T08:00:00,Qlik,Qlik_App_10,Qlik_App_10_table_9172,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_6684,derives,100147,FALSE
500148,2025-10-05T08:00:00,BigData,Spark_Cluster_C,Spark_Cluster_C_table_0216,BigData,Spark_Cluster_C,Spark_Cluster_C_table_7606,aggregates,100148,TRUE
500149,2025-10-05T08:00:00,Glue,Glue_Job_005,Glue_Job_005_table_6354,OnPrem,OnPrem_Srv_06,OnPrem_Srv_06_table_1933,derives,100149,FALSE
500150,2025-10-05T08:00:00,DataWarehouse,Core,Core_table_9468,Glue,Glue_Job_011,Glue_Job_011_table_2744,derives,100150,FALSE
500151,2025-10-05T08:00:00,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_8437,DataWarehouse,Mart,Mart_table_2896,derives,100151,FALSE
500152,2025-10-05T08:00:00,Glue,Glue_Job_012,Glue_Job_012_table_8156,OnPrem,OnPrem_Srv_09,OnPrem_Srv_09_table_3584,aggregates,100152,FALSE
500153,2025-10-05T08:00:00,Glue,Glue_Job_010,Glue_Job_010_table_8859,Glue,Glue_Job_004,Glue_Job_004_table_6690,derives,100153,FALSE
500154,2025-10-05T08:00:00,BigData,Spark_Cluster_C,Spark_Cluster_C_table_8346,Glue,Glue_Job_018,Glue_Job_018_table_3700,copies,100154,FALSE
500155,2025-10-05T16:00:00,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_8276,Qlik,Qlik_App_05,Qlik_App_05_table_1423,aggregates,100155,FALSE
500156,2025-10-05T16:00:00,Glue,Glue_Job_003,Glue_Job_003_table_3608,PostgreSQL,Promotions,Promotions_table_3076,aggregates,100156,FALSE
500157,2025-10-05T16:00:00,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_6029,BigData,Spark_Cluster_C,Spark_Cluster_C_table_1850,copies,100157,FALSE
500158,2025-10-05T16:00:00,OnPrem,OnPrem_Srv_07,OnPrem_Srv_07_table_8464,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_3274,derives,100158,FALSE
500159,2025-10-05T16:00:00,PostgreSQL,Returns,Returns_table_0407,Qlik,Qlik_App_07,Qlik_App_07_table_0167,copies,100159,TRUE
500160,2025-10-05T16:00:00,Glue,Glue_Job_017,Glue_Job_017_table_1152,PostgreSQL,Orders,Orders_table_7620,copies,100160,FALSE
500161,2025-10-05T16:00:00,Glue,Glue_Job_005,Glue_Job_005_table_1856,PostgreSQL,Compliance,Compliance_table_8126,aggregates,100161,FALSE
500162,2025-10-05T16:00:00,DataWarehouse,Core,Core_table_0140,DataWarehouse,Staging,Staging_table_1425,copies,100162,FALSE
500163,2025-10-06T00:00:00,Glue,Glue_Job_010,Glue_Job_010_table_5789,Qlik,Qlik_App_09,Qlik_App_09_table_0202,joins,100163,FALSE
500164,2025-10-06T00:00:00,Qlik,Qlik_App_09,Qlik_App_09_table_6310,Qlik,Qlik_App_03,Qlik_App_03_table_4118,derives,100164,FALSE
500165,2025-10-06T00:00:00,OnPrem,OnPrem_Srv_10,OnPrem_Srv_10_table_4196,DataWarehouse,Staging,Staging_table_5179,aggregates,100165,FALSE
500166,2025-10-06T00:00:00,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_4397,Qlik,Qlik_App_09,Qlik_App_09_table_9284,derives,100166,FALSE
